,stock,from,to,from_w,to_w,cash,price
2017-07-11 09:30:09,SH601318,0.81552207,0.8133,14.71,14.87,0.0406682,50.81
2017-07-10 13:19:09,SH600004,2.74686278,3.0227,50.79,55.0,0.0406682,19.51
2017-07-04 10:50:42,SH600004,2.11434019,2.7469,41.34,51.0,0.01351362,19.2
2017-06-30 09:41:10,SH600004,1.31584196,2.1143,24.98,40.0,0.00619729,18.23
2017-06-29 14:13:42,SH600004,0.0,1.3158,0.0,25.0,0.41005626,18.17
2017-06-20 09:30:24,SZ002422,0.52345246,0.5189,10.03,10.12,0.00944897,16.0
2017-06-19 10:52:48,SH600900,0.39194768,1.6792,7.72,33.0,0.00944897,14.45
2017-06-16 09:30:07,SZ002039,0.51316356,0.511,9.91,10.12,0.88130656,14.18
2017-06-12 14:34:27,SH600597,0.3443536,0.5132,7.1,10.0,0.88130656,12.31
2017-05-26 10:12:45,SH600004,0.0,0.4919,0.0,10.0,0.68651712,16.3
2017-05-12 13:50:24,SH600500,0.33153035,0.0,7.01,0.0,1.86715796,9.7
2017-05-11 10:21:25,SH600458,0.0,0.3315,0.0,7.0,0.71042306,11.85
2017-04-21 14:54:42,SZ002039,0.0,0.3246,0.0,7.0,0.0159326,15.02
2017-04-13 10:24:48,SH601318,1.11125069,1.6579,24.01,36.0,0.03773796,35.89
2017-04-12 09:32:57,SZ000089,0.4461024,0.0,11.0,0.0,0.58994867,9.35
2017-03-02 10:00:25,SH601318,0.43854415,1.1153,9.83,25.0,0.08922149,36.2
2017-01-18 10:58:44,SZ000089,0.43558908,0.4385,9.61,10.0,0.96479947,8.0
2016-12-15 11:20:43,SH600674,0.43813063,0.7841,9.72,18.0,0.0063888,8.78
2016-12-06 09:30:27,SH600500,0.0,0.6572,0.0,15.0,0.13144025,10.64
2016-11-29 11:26:15,SH511990,0.0,4.3805,0.0,100.0,2e-07,99.978
2016-11-29 11:07:51,SZ002422,0.34162951,0.3064,7.83,7.0,2.14479137,17.72
2016-11-24 14:35:16,SH600900,0.0,1.58,0.0,37.0,6.9e-07,13.17
2016-11-23 09:53:47,SZ002422,0.0,0.2984,0.0,7.0,0.00025633,17.58
2016-11-21 11:29:30,SZ000089,0.0,0.2125,0.0,5.0,0.00014959,8.78
2016-11-09 10:37:43,SH600500,0.12225882,0.6082,3.09,15.0,2.8e-07,10.28
2016-11-02 09:30:59,SH600886,0.0,0.2038,0.0,5.0,0.93731823,6.55
2016-10-25 14:27:55,SH600028,0.0408745,2.0438,1.0,50.0,2.04376625,5.01
2016-10-21 11:06:45,SH600028,0.0,0.0409,0.0,1.0,4.04657622,5.0
2016-09-27 14:29:02,SH600886,0.03999684,1.9991,1.02,50.0,8e-08,6.55
2016-07-06 10:11:43,SZ000400,0.40296804,0.04,10.03,1.0,3.87969949,15.57
2016-07-05 09:30:06,SH600886,1.93883281,2.0164,48.02,50.09,1e-07,6.48
2016-06-27 09:30:05,SH600674,1.55106623,1.5547,38.8,40.08,1e-07,8.19
2016-06-24 14:52:10,SZ000400,0.0,0.3878,0.0,10.0,1e-07,15.05
2016-06-23 09:30:05,SZ000726,0.3957436,0.4032,9.75,10.2,0.03533247,10.91
2016-06-08 09:50:28,SH600674,0.98582556,1.5305,24.83,39.0,0.03533247,8.5
2016-06-06 13:16:52,SH600674,1.15644972,0.9858,29.4,25.0,0.59149554,8.6
2016-05-17 09:46:27,SH600886,1.36446177,2.1931,34.89,56.34,0.00192847,6.59
2016-05-17 09:30:04,SZ000568,0.76268051,0.0,21.42,0.0,0.83674795,25.78
2016-04-26 13:54:08,SZ000726,0.37440932,0.5456,10.07,14.62,7.12e-05,11.02
2016-04-26 09:35:45,SZ000726,0.0,0.3744,0.0,10.0,0.16989028,10.98
2016-04-25 09:56:02,SH600886,1.12679712,1.3047,29.76,35.0,0.5442996,6.33
2016-04-20 14:50:38,SH600674,1.30077422,1.1268,35.14,30.0,0.73971581,8.36
2016-04-20 13:59:38,SH600886,1.14840232,1.3008,29.24,35.0,0.35226896,6.33
2016-04-18 11:11:24,SH600886,0.77553664,1.1484,19.73,30.0,0.7656019,6.69
2016-04-15 09:58:14,SH600886,0.37295312,0.7755,9.55,20.0,0.56494389,6.87
2016-04-06 10:52:09,SH600900,0.0,0.9579,0.0,24.96,9e-08,12.27
2016-02-25 13:05:44,SH600674,0.0,0.7049,0.0,20.0,4.2e-07,7.9
2016-02-24 10:11:18,SH600900,1.43507711,2.1392,40.05,60.0,0.01739991,12.1
2016-02-24 09:56:14,SH600900,0.70794932,1.4351,19.77,40.0,0.72865376,12.16
2016-02-24 09:54:04,SH600886,1.41049855,0.0358,41.42,1.0,1.45461524,6.8
2016-02-22 11:20:02,SH600900,0.0,0.705,0.0,20.0,0.00572374,12.09
2016-02-22 11:17:26,SH600004,0.6801397,0.0,20.15,0.0,0.71075728,13.0
2016-02-04 11:23:42,SH600886,0.85134081,1.3603,22.22,40.0,3.5e-07,6.23
2016-01-11 14:43:25,SH600004,1.06590375,1.3621,30.13,40.0,2.4e-07,12.08
2016-01-11 10:34:51,SH600886,0.3561878,0.7106,9.93,20.0,0.71060287,7.54
2016-01-08 11:01:27,SH600004,0.0,0.7124,0.0,20.0,1.7809397,12.53
2015-12-30 09:32:28,SZ002216,0.0,0.3732,0.0,10.0,2.57719806,11.38
2015-12-24 10:43:14,SH600886,0.0,1.1345,0.0,30.0,2.61110488,8.85
2015-12-21 09:44:33,SZ000895,1.07924832,0.0,31.47,0.0,3.7456508,21.1
2015-12-09 13:27:08,SZ000550,0.37189051,0.0,10.25,0.0,2.55588384,29.9
2015-12-02 10:31:33,SZ000550,1.09954776,0.3719,30.31,10.06,2.17971583,29.56
2015-12-02 10:05:22,SZ000550,0.72178189,1.0995,20.05,30.0,1.43082594,29.0
2015-12-02 09:58:59,SZ000858,0.90850582,0.0,25.08,0.0,2.00452689,24.8
2015-11-27 13:52:33,SH600674,0.0,0.2907,0.0,8.0,0.03645786,10.54
2015-11-27 13:33:07,SZ000895,0.36454061,0.7251,9.88,20.0,0.68904993,19.77
2015-11-27 11:09:19,SH600585,0.0,0.3645,0.0,10.0,2.15093268,16.89
2015-11-04 14:31:13,SZ002216,0.17381809,0.0,5.12,0.0,3.60909541,10.92
2015-11-02 09:53:45,SH600674,0.53993109,0.6768,14.99,19.0,0.01273139,10.58
2015-10-30 13:25:40,SH600886,0.34850397,0.5399,9.5,15.0,0.15565491,8.93
2015-10-29 09:37:41,SZ002216,0.0,0.3515,0.0,9.85,0.00036205,10.09
2015-10-27 10:54:37,SZ002039,0.35731222,0.7049,9.88,20.0,0.00337607,16.02
2015-10-26 14:51:17,SH601939,0.0,0.3573,0.0,10.0,1.07193751,5.59
2015-10-23 14:28:53,SH600886,1.06339403,0.0,29.84,0.0,3.5363289,9.16
2015-10-22 09:57:58,SZ002039,0.70505119,1.4122,19.96,40.0,1.05497783,15.53
2015-10-22 09:30:49,SH600886,0.0,1.0576,0.0,30.0,1.76262805,9.09
2015-10-16 09:47:53,SH511880,0.0,3.5238,0.0,100.0,9.2e-07,102.86
2015-10-15 11:28:17,SH600886,3.44531051,1.7469,100.0,50.0,1.74694441,9.35
2015-10-13 13:32:51,SH600886,1.74022395,3.4453,49.49,100.0,4e-08,9.22
2015-10-12 13:17:55,SH600886,3.35099447,1.7402,100.0,50.0,1.74022396,9.41
2015-10-09 13:55:09,SH600886,1.75871909,3.351,52.89,100.0,1e-08,9.06
2015-10-09 11:06:02,SH600886,0.83103662,1.7587,24.49,53.1,4e-08,8.99
2015-10-08 10:50:50,SH600886,1.05437196,0.831,32.17,25.0,0.27155605,9.21
2015-10-08 09:42:43,SH600886,0.83644788,1.0544,25.33,32.0,2e-08,9.08
2015-10-08 09:40:50,SZ150172,0.0,0.3297,0.0,10.0,0.43507843,1.157
2015-10-08 09:30:17,SZ150097,0.0,0.6631,0.0,20.0,0.76476989,0.568
2015-09-30 10:22:06,SH600717,0.0,0.9729,0.0,30.0,1.42790497,9.53
2015-09-29 10:08:24,SH600886,1.62185193,0.6529,50.34,20.0,2.58000357,9.12
2015-09-28 14:46:44,SH600886,1.57168341,1.6219,48.45,50.0,1.58947107,9.0
2015-09-28 09:37:04,SH600886,0.54211283,1.5717,16.56,48.71,1e-08,9.0
2015-09-25 13:54:10,SH600886,0.0,0.5421,0.0,17.0,0.00259517,9.13
2015-09-25 11:21:23,SZ150118,1.06442663,1.6045,32.55,50.0,0.544708,0.365
2015-09-25 11:14:23,SZ150118,0.64055268,1.0644,19.44,33.0,1.10478395,0.372
2015-09-25 09:36:40,SZ150118,0.0,0.6406,0.0,20.0,1.54214322,0.38
2015-09-25 09:30:22,SZ000024,0.0,0.9494,0.0,30.0,2.1826959,26.7
2015-09-24 09:30:06,SH600886,0.0,3.1175,0.0,98.0,0.03116853,9.37
2015-09-17 09:30:06,SZ002039,0.61758172,0.0,20.53,0.0,3.14869037,13.9
2015-09-14 14:15:40,SH600461,0.0,0.772,0.0,25.0,0.09263745,10.38
2015-09-09 09:30:10,SH601318,0.03088114,0.0312,1.01,1.01,3.05724945,29.9
2015-08-28 11:10:47,SZ002039,0.84490298,0.0,29.67,0.0,3.05724945,14.88
2015-08-26 09:55:51,SZ002039,0.0,0.8449,0.0,30.0,3.7e-07,13.72
2015-08-13 09:30:41,SZ162411,2.65127282,0.0,98.11,0.0,2.79514695,0.634
2015-08-11 13:16:00,SZ162411,0.0,2.6513,0.0,98.0,0.02594272,0.607
2015-08-04 11:29:34,SH600694,0.26993937,0.0,9.95,0.0,2.67721554,40.41
2015-08-04 09:52:32,SZ150001,0.53246067,0.2699,20.27,10.0,1.88957826,1.57
2015-08-03 13:13:56,SH600694,0.52827885,1.2857,19.23,49.0,0.01132057,39.16
2015-08-03 09:47:00,SH601318,0.02643735,0.7924,0.91,30.0,0.79241885,32.58
2015-07-30 10:20:57,SH601318,0.4906608,0.0264,19.21,1.0,2.61732912,35.79
2015-07-29 14:47:01,SH601006,0.50059339,0.0,20.39,0.0,2.1359368,10.14
2015-07-28 09:56:19,SH601006,0.0,0.5006,0.0,20.0,7.4e-07,9.48
2015-07-27 09:30:12,SH601318,0.02350474,0.0241,0.48,0.96,2.48161038,39.8
2015-07-16 10:44:56,SZ002422,0.43735663,0.0,20.34,0.0,2.48161038,36.52
2015-07-13 09:41:45,SH600674,0.0,0.0,57.81,0.0,1.97212826,11.6
2015-07-08 09:30:00,SZ150173,0.45194953,0.0739,72.04,12.5,0.41726205,0.849
2015-07-03 11:15:04,SH600674,0.66482419,1.2238,29.88,54.62,6e-08,10.09
2015-07-03 10:18:34,SH600674,0.0,0.6648,0.0,30.0,3.5e-07,10.02
2015-07-02 09:46:30,SZ150152,0.10653079,0.4259,4.89,20.0,8e-08,0.831
2015-06-30 13:25:12,SZ150277,0.0,0.2131,0.0,10.0,9e-07,0.855
2015-06-26 09:30:57,SH601318,0.0,0.6494,0.0,30.0,9.1e-07,80.96
2015-06-25 09:37:08,SH600999,0.22025226,0.2195,10.04,10.0,0.00077776,29.36
2015-06-25 09:36:10,SZ150277,0.0,0.4391,0.0,20.0,1e-08,0.822
2015-06-25 09:31:37,SH600999,0.41868044,0.2195,19.26,10.0,1.09751161,29.26
2015-06-19 09:30:24,SH600585,0.44268469,0.4266,19.08,19.57,0.00140412,24.08
2015-06-18 14:15:51,SH600036,0.0,0.492,0.0,21.89,0.00140412,18.95
2015-06-17 13:00:48,SH601398,0.0,0.4408,0.0,20.0,3.9e-07,5.24
2015-06-17 10:42:16,SH600999,0.0,0.1102,0.0,5.0,2.09362472,30.48
2015-06-15 09:30:37,SH600276,0.0220856,0.0228,0.79,1.03,2.10056936,48.15
2015-06-10 11:25:36,SZ002038,0.43563039,0.0221,19.88,1.0,2.10056936,70.06
2015-06-09 09:47:42,SH600276,0.43043,0.2211,20.61,10.0,1.48779742,61.68
2015-06-08 13:40:10,SH600276,0.0,0.4304,0.0,20.0,0.18773475,58.27
2015-06-03 13:39:47,SH601398,0.0,0.7705,0.0,40.0,1.3e-07,5.14
2015-05-26 14:21:39,SZ002038,0.18700148,0.0192,9.86,1.0,1.80939779,70.91
2015-05-25 10:30:43,SH600276,0.0,0.561,0.0,30.0,1.1e-06,59.27
2015-05-18 10:54:24,SH600036,0.0,0.5095,0.0,30.0,6.1e-07,17.12
2015-05-05 13:56:20,SZ002038,0.0,1.3667,0.0,94.05,3.807e-05,55.38
2015-03-10 13:45:00,SH600600,0.0,0.0144,0.0,1.0,1.36675444,40.08
2015-03-10 13:11:24,SH600886,0.4160098,0.0144,29.77,1.0,1.38114195,10.09
2015-03-05 14:47:58,SH600886,0.01388443,0.416,0.93,30.0,4.2e-07,9.8
2015-02-26 13:00:51,SH600674,0.42441092,0.0139,29.77,1.0,1.33291518,20.6
2015-01-21 14:08:43,SH600309,0.0,0.1467,0.0,10.24,0.00011974,22.74
2015-01-21 10:41:10,SH600886,0.0,0.4119,0.0,29.53,6.497e-05,10.36
2015-01-16 09:54:08,SZ000501,0.12819563,0.4181,9.12,28.61,4.448e-05,16.44
2015-01-13 14:45:28,SH600674,0.0,0.4232,0.0,30.0,1e-07,21.09
2015-01-13 10:59:25,SH600642,0.28103214,0.0,19.96,0.0,0.79024247,6.04
2015-01-12 13:38:18,SH600642,0.14088696,0.281,10.03,20.0,1.876e-05,6.02
2015-01-12 13:16:25,SH600009,0.0,0.1405,0.0,10.0,0.43297077,19.36
2015-01-12 13:14:34,SH600642,0.0,0.1403,0.0,10.0,0.71372513,6.0
2015-01-06 10:25:37,SH600469,0.13952027,0.0,10.23,0.0,1.27500532,13.24
2015-01-05 13:23:21,SH600469,0.39165193,0.1395,29.76,10.0,0.72287918,12.87
2014-12-31 11:07:03,SH600674,0.0,0.3975,0.0,30.21,9e-08,19.85
2014-12-29 10:59:27,SH600469,0.25805763,0.3957,19.2,30.0,0.3976066,12.27
2014-12-29 10:20:22,SZ000538,0.0,0.1323,0.0,10.0,0.54010835,59.03
2014-12-29 09:42:12,SH600642,0.13042298,0.0,10.01,0.0,0.93676437,6.48
2014-12-26 10:47:30,SH600469,0.0,0.259,0.0,20.0,0.00554576,12.53
2014-12-25 10:34:30,SH600642,0.0,0.1271,0.0,10.0,8.083e-05,6.2
2014-12-24 13:00:58,SH600859,0.0,0.1253,0.0,10.0,0.00029656,20.65
2014-12-23 13:42:50,SH600858,0.0,0.1205,0.0,9.79,5e-08,8.6
2014-12-22 14:43:33,SH600315,0.0,0.1217,0.0,10.0,0.12054541,32.16
2014-12-22 14:35:17,SZ000999,0.0,0.1219,0.0,10.0,0.24225369,21.8
2014-12-22 13:35:16,SZ002327,0.0,0.1223,0.0,10.0,0.36444401,13.57
2014-12-22 13:25:59,SZ000639,0.0,0.1221,0.0,10.0,0.48674214,16.16
2014-12-22 13:23:55,SH600361,0.0,0.1222,0.0,10.0,0.60930466,6.0
2014-12-22 13:22:02,SH600196,0.0,0.1222,0.0,10.0,0.73161379,20.45
2014-12-22 13:14:14,SH600812,0.0,0.1221,0.0,10.0,0.85364284,6.15
2014-12-22 10:25:42,SZ000895,0.0,0.1219,0.0,10.0,0.97535834,29.72
2014-12-18 13:15:45,SH600859,0.02409815,0.0,1.97,0.0,1.20506191,20.51
2014-12-17 11:00:37,SZ000876,0.12153745,0.0122,10.25,1.0,0.90500084,15.18
2014-12-16 10:02:23,SZ000876,0.0,0.1215,0.0,10.0,0.79260293,14.8
2014-12-15 13:50:37,SZ000999,0.12091436,0.0243,10.05,2.0,0.91455555,23.37
2014-12-15 09:55:17,SZ000999,0.0,0.1209,0.0,10.0,0.71939273,23.12
2014-12-11 09:54:28,SH600859,0.05902227,0.0243,5.04,2.0,0.96148747,20.82
2014-12-10 11:20:50,SH600859,0.11597038,0.059,9.93,5.0,0.59022316,20.02
2014-12-10 09:31:22,SH601117,0.0,0.116,0.0,10.0,8.6e-07,7.66
2014-12-09 13:30:33,SH600694,0.01153537,0.0,1.09,0.0,1.14889921,43.02
2014-12-08 14:32:36,SH600694,0.05768222,0.0115,5.0,1.0,1.01511364,39.21
2014-12-08 14:27:19,SH600886,0.22975301,0.1154,20.25,10.0,0.58928288,8.41
2014-12-08 14:02:48,SH600694,0.0906179,0.0574,7.98,5.0,0.47099421,39.0
2014-12-08 10:21:18,SH600461,0.0,0.1131,0.0,10.0,0.05701862,10.88
2014-12-08 10:13:00,SH600858,0.21522322,0.2265,18.89,20.0,0.23785816,8.51
2014-12-08 09:58:03,SZ002187,0.05272546,0.1133,4.15,10.0,0.22111437,12.52
2014-12-02 10:19:26,SH600600,0.0,0.0669,0.0,6.34,7.4e-07,40.03
2014-11-25 09:42:10,SZ002187,0.0,0.1024,0.0,9.93,3.3e-07,12.05
2014-11-25 09:41:16,SZ000501,0.0,0.1031,0.0,10.0,0.10231518,13.9
2014-11-25 09:40:29,SH600858,0.40889776,0.2061,39.91,20.0,0.20532228,8.21
2014-11-24 11:26:39,SH600858,0.20431757,0.4089,20.03,39.98,1.5e-07,8.16
2014-11-24 11:16:56,SH600694,0.0,0.1022,0.0,10.0,0.20401143,32.8
2014-11-24 11:14:34,SH600858,0.0,0.2046,0.0,20.0,0.30658734,8.14
2014-11-24 11:13:12,SH600886,0.99999995,0.5111,100.0,50.0,0.51114209,7.34
2014-11-18 09:31:55,SH600886,0.0,1.0,0.0,100.0,5e-08,7.18
